company_name,company_scale,company_category,count
华泰视通,20-99人,计算机软件,8
上海小牛互娱,1000-9999人,互联网,8
厦门实锐科技股份...,100-499人,仪器仪表/工业自动化,8
易联众,1000-9999人,医疗健康,8
新诺北斗航科,100-499人,数据服务,8
莫奇,20-99人,游戏,8
三优光电,100-499人,电子/半导体/集成电路,8
盛信千汇,0-20人,计算机软件,8
福建医联康护,100-499人,医疗健康,8
先进数通,1000-9999人,计算机软件,8
安井食品,1000-9999人,其他行业,8
国科科技,100-499人,计算机软件,8
字节跳动,10000人以上,移动互联网,8
今立方,0-20人,计算机软件,8
长亮科技,1000-9999人,计算机软件,8
厦门尔冬软件科技...,100-499人,数据服务,8
量道新能源,100-499人,贸易/进出口,8
厦门链石科技,20-99人,计算机软件,8
美团点评,10000人以上,O2O,8
佳因特,100-499人,贸易/进出口,8
安全狗（美亚子公司）,100-499人,信息安全,8
锐特信息,500-999人,互联网,8
威准科技,20-99人,机械设备/机电/重工,8
第六城网络科技,0-20人,互联网,8
鼎捷软件,1000-9999人,计算机软件,8
吾双科技,100-499人,电子商务,8
皓耿纬,0-20人,游戏,8
晶宇,1000-9999人,电子/半导体/集成电路,8
厦门游乐米,0-20人,计算机软件,8
厦门酷熊科技有限公司,20-99人,互联网,8
根号叁科技,20-99人,计算机软件,8
智慧图,0-20人,计算机软件,8
拼拼侠,20-99人,电子商务,8
Unicorn,100-499人,电子商务,8
百威英博,10000人以上,其他行业,8
尚为科技,20-99人,智能硬件,8
瑞尔特,1000-9999人,家具/家电/家居,8
大禾众邦,100-499人,建筑设计,8
科技谷,20-99人,计算机软件,7
厦门致联科技有限公司,100-499人,智能硬件,7
冠捷,10000人以上,电子/半导体/集成电路,7
智联信通物联网科技,100-499人,智能硬件,7
金固美,1000-9999人,新能源,7
才盛网络科技,100-499人,互联网,7
视瑞通,20-99人,计算机软件,7
某大型计算机软件公司,100-499人,计算机软件,7
叁书云,20-99人,计算机软件,7
火屿网络,20-99人,游戏,7
厦门华秦,20-99人,计算机服务,7
尚阡,20-99人,电子商务,7
amoytop,500-999人,医疗健康,7
雷迅科微电子,20-99人,电子/半导体/集成电路,7
通达易,100-499人,医疗健康,7
哈德教育集团,100-499人,培训机构,7
厦门仟信德,20-99人,智能硬件,7
斯坦道科学仪器,100-499人,智能硬件,7
东软汉和信息科技,20-99人,计算机软件,7
白鸽在线,100-499人,移动互联网,7
视诚科技,100-499人,智能硬件,7
PRIMA,100-499人,电子/半导体/集成电路,7
艾字节,0-20人,移动互联网,7
三固科技,100-499人,仪器仪表/工业自动化,7
姹紫嫣红,20-99人,移动互联网,7
网赢集团,20-99人,计算机软件,7
厦门一通灵,0-20人,计算机软件,7
有信互动,0-20人,移动互联网,7
钉云科技,20-99人,移动互联网,7
厦门万泰,500-999人,制药,7
锐捷网络,1000-9999人,通信/网络设备,7
云咖科技,20-99人,游戏,7
中创环保,100-499人,环保,7
触控科技,500-999人,游戏,7
科力,1000-9999人,电子商务,7
智童时刻,100-499人,智能硬件,7
尘锋,500-999人,计算机软件,7
易法通,100-499人,互联网,7
三维码科技,20-99人,互联网,7
普乐惠电商,20-99人,电子商务,7
紫金矿业,10000人以上,矿产/地质,7
缑城,20-99人,游戏,7
华强方特,100-499人,建筑设计,7
和云通,100-499人,计算机软件,7
快马鲜生,1000-9999人,物流/仓储,7
筑才,100-499人,工程施工,7
入夏网站建设公司,0-20人,计算机软件,7
知游,20-99人,在线教育,7
格物云,20-99人,互联网,7
启禾网络,20-99人,电子商务,7
清研宏达,20-99人,数据服务,7
万物云联,100-499人,互联网,7
力控科技(广州),100-499人,计算机软件,7
信用家,500-999人,互联网,7
厦门钨业技术中心,10000人以上,采掘/冶炼,7
厦门会展集团股份...,500-999人,广告/公关/会展,7
科华数据,1000-9999人,数据服务,7
伏特佳,20-99人,互联网,7
中海创科技集团,100-499人,计算机软件,7
维正集团,1000-9999人,企业服务,7
IGG,1000-9999人,游戏,7
海创世纪,20-99人,游戏,7
NEXGIM,20-99人,智能硬件,7
某大型企业服务公司,500-999人,企业服务,7
唯识筋斗云,0-20人,电子/半导体/集成电路,7
不妨游戏,20-99人,游戏,7
福建广电智能,20-99人,工程施工,7
正观易知科技,20-99人,移动互联网,7
祥达光学,1000-9999人,电子/半导体/集成电路,7
码灵半导体技术,20-99人,电子/半导体/集成电路,7
厦门畅博思,20-99人,计算机软件,7
斑马定制,100-499人,电子商务,7
船奇,500-999人,互联网,7
荣耀电竞,20-99人,游戏,7
美易通,20-99人,计算机软件,7
普诚科技,100-499人,电子/半导体/集成电路,6
厦门博视源,20-99人,机械设备/机电/重工,6
汇链通,100-499人,互联网,6
美亚睿进,0-20人,计算机软件,6
厦门龙人亦进信息科技,20-99人,计算机软件,6
西子金,100-499人,计算机软件,6
瑞识科技,20-99人,电子/半导体/集成电路,6
般纳,0-20人,广告/公关/会展,6
厦门正艾科技,0-20人,电子/半导体/集成电路,6
金邦科技,100-499人,贸易/进出口,6
厦门娱跃,0-20人,游戏,6
万华顺昌,20-99人,计算机软件,6
华云数据,500-999人,数据服务,6
钛尚科技,20-99人,互联网,6
星流游戏,0-20人,移动互联网,6
魔兔游戏,100-499人,游戏,6
东昂股份,100-499人,原材料及加工/模具,6
明见技术,20-99人,智能硬件,6
中移铁通厦门分公司,1000-9999人,通信/网络设备,6
泛微网络,1000-9999人,计算机软件,6
深码万易,0-20人,智能硬件,6
久久莹,20-99人,游戏,6
微升,0-20人,计算机软件,6
厦门嘉时,100-499人,计算机软件,6
德捷,20-99人,计算机软件,6
医数通科技,20-99人,计算机软件,6
瑞幸咖啡,10000人以上,互联网,6
厦门三安,1000-9999人,电子/半导体/集成电路,6
厦门次代星,20-99人,游戏,6
捷顺科技,1000-9999人,互联网,6
厦门脉搏网络,20-99人,互联网,6
知象科技,20-99人,互联网,6
时空视界,20-99人,计算机软件,6
识来科技,20-99人,企业服务,6
企企通,500-999人,企业服务,6
阿里-高德,1000-9999人,互联网,6
团队机器人,0-20人,计算机软件,6
锋合至创,20-99人,游戏,6
厦门图控,0-20人,仪器仪表/工业自动化,6
江苏优网智能科技...,20-99人,移动互联网,6
易衡,20-99人,电子/半导体/集成电路,6
星速购,20-99人,智能硬件,6
易灵网络,20-99人,游戏,6
厦门阻何商贸有限公司,20-99人,互联网,6
奥普拓,20-99人,互联网,6
智慧九州有限公司,20-99人,计算机软件,6
厦门美立声,20-99人,医疗设备/器械,6
厦门物思科技,20-99人,计算机软件,6
星辰追梦科技,100-499人,移动互联网,6
腾星云,20-99人,计算机软件,6
嗨米,20-99人,游戏,6
上海百胜软件,1000-9999人,计算机软件,6
浪潮,10000人以上,互联网,6
欧仕达,100-499人,医疗/护理/卫生,6
弘汉光电,1000-9999人,电子/半导体/集成电路,6
某半导体公司,20-99人,电子/半导体/集成电路,6
北京掌上先机,1000-9999人,互联网,6
捷顺科技,20-99人,计算机软件,6
益客联,20-99人,互联网,6
鹭燕,1000-9999人,医疗健康,6
厦门炽阳网络科技...,0-20人,互联网,6
唐韵互动,20-99人,互联网,6
中卡股份,100-499人,移动互联网,6
弘爱医院,1000-9999人,医疗/护理/卫生,6
SAS,100-499人,计算机软件,6
森炯网络科技,20-99人,电子商务,6
福建介可视,0-20人,仪器仪表/工业自动化,6
厦门柏事特,100-499人,工程施工,6
